Year,GDP Per Capita (US $)
2021,"$2,257"
2020,"$1,910"
2019,"$2,047"
2018,"$1,974"
2017,"$1,958"
2016,"$1,714"
2015,"$1,590"
2014,"$1,560"
2013,"$1,438"
2012,"$1,434"
2011,"$1,450"
2010,"$1,351"
2009,"$1,097"
2008,$994
2007,"$1,023"
2006,$802
2005,$711
2004,$624
2003,$544
2002,$469
2001,$450
2000,$442
1999,$441
1998,$413
1997,$415
1996,$400
1995,$374
1994,$346
1993,$302
1992,$318
1991,$304
1990,$369
1989,$347
1988,$356
1987,$342
1986,$312
1985,$298
1984,$278
1983,$293
1982,$275
1981,$271
1980,$267
1979,$225
1978,$206
1977,$186
1976,$161
1975,$158
1974,$163
1973,$143
1972,$123
1971,$118
1970,$112
1969,$107
1968,$100
1967,$96
1966,$90
1965,$119
1964,$115
1963,$101
1962,$90
1961,$86
1960,$83
