Year,All
2017,100
2017,100.13
2017,100.38
2017,100.67
2017,100.95
2017,101.32
2017,101.76
2017,102.27
2017,102.59
2017,102.9
2017,103.13
2017,103.45
2018,103.78
2018,104.02
2018,104.32
2018,104.62
2018,105.09
2018,105.44
2018,105.76
2018,106.08
2018,106.41
2018,106.72
2018,106.96
2018,107.33
2019,107.78
2019,108.07
2019,108.29
2019,108.57
2019,108.96
2019,109.32
2019,109.62
2019,109.93
2019,110.11
2019,110.22
2019,110.31
2019,110.42
2020,110.63
2020,110.79
2020,110.99
2020,111.12
2020,111.2
2020,111.45
2020,111.6
2020,111.79
2020,112
2020,112.25
2020,112.45
2020,112.62
2021,112.88
2021,113.11
2021,113.25
2021,113.59
2021,113.87
2021,113.94
2021,114.79
2021,115.23
2021,115.36
2021,115.51
2021,115.56
2021,115.49
2022,115.81
2022,115.88
2022,115.84
2022,116.7
2022,117.21
2022,117.15
2022,118.45
2022,119.35
2022,119.57
2022,121.2
2022,122.09
2022,122.29
2023,123.33
2023,123.79
2023,123.97
